Wall time,Step,Value
1562136211.527666,1408,0.125
1562136214.1963203,1600,0.125
1562136242.9108078,3648,0.234375
1562136245.6100466,3840,0.1875
1562136266.4260488,5312,0.21875
1562136267.339335,5376,0.140625
1562136273.7374868,5824,0.25
1562136321.5625875,9152,0.375
1562136347.5985277,10944,0.4375
1562136351.310883,11200,0.265625
1562136389.7220075,13824,0.359375
1562136410.449329,15232,0.234375
1562136435.9484367,16960,0.234375
1562136470.0890074,19264,0.421875
1562136509.17122,21888,0.375
1562136532.9789925,23488,0.328125
1562136567.217761,25792,0.515625
1562136617.5323195,29184,0.40625
1562136672.6719844,32896,0.296875
1562136707.7797358,35264,0.296875
1562136709.6813247,35392,0.390625
1562136720.1134303,36096,0.484375
1562136743.812307,37696,0.53125
1562136781.744686,40256,0.5625
1562136812.0977051,42304,0.46875
1562136814.954831,42496,0.578125
1562136819.7098489,42816,0.546875
1562136975.706069,44779,0.5
1562137015.7325957,47467,0.4375
1562137018.564217,47659,0.5625
1562137085.000909,52139,0.5625
1562137109.7386138,53803,0.59375
1562137117.335726,54315,0.5
1562137143.036334,56043,0.546875
1562137149.7180674,56491,0.5625
1562137152.5674243,56683,0.59375
1562137166.8588202,57643,0.703125
1562137169.7201266,57835,0.640625
1562137194.4577246,59499,0.5625
1562137268.7280447,64491,0.609375
1562137300.0983026,66603,0.609375
1562137313.3992496,67499,0.65625
1562137328.603684,68523,0.609375
1562137346.6771345,69739,0.5625
1562137387.5892537,72491,0.65625
1562137409.4884684,73963,0.640625
1562137460.8881845,77419,0.625
1562137465.630212,77739,0.71875
1562137482.7479208,78891,0.71875
1562137496.0604787,79787,0.53125
1562137510.310682,80747,0.671875
1562137526.5219934,81835,0.71875
1562137553.1310894,83627,0.6875
1562137738.4701626,87958,0.671875
1562137777.821791,90582,0.75
1562137782.563058,90902,0.6875
1562137785.4118645,91094,0.703125
1562137948.644621,102102,0.796875
1562137969.582065,103510,0.640625
1562137972.4388533,103702,0.78125
1562137990.5289505,104918,0.75
1562138005.7296379,105942,0.6875
1562138046.6831245,108694,0.828125
1562138065.680601,109974,0.703125
1562138086.57752,111382,0.640625
1562138100.863413,112342,0.734375
1562138124.6411529,113942,0.78125
1562138127.4984827,114134,0.734375
1562138140.817153,115030,0.78125
1562138152.2312613,115798,0.78125
1562138155.0889997,115990,0.703125
1562138204.5653636,119318,0.71875
1562138214.0690405,119958,0.75
1562138224.4903,120662,0.859375
1562138272.0276678,123862,0.765625
1562138277.736245,124246,0.84375
1562138297.7271924,125590,0.765625
1562138312.9457693,126614,0.8125
1562138355.7912652,129494,0.765625
1562138549.087872,134913,0.765625
1562138720.1670184,146433,0.890625
1562138740.147975,147777,0.796875
1562138822.9186919,153345,0.8125
1562138840.0416877,154497,0.875
1562138887.6564665,157697,0.765625
1562138925.760791,160257,0.75
1562138942.8794613,161409,0.875
1562138961.8764803,162689,0.90625
1562138995.1832962,164929,0.796875
1562139003.7412398,165505,0.828125
1562139005.6398795,165633,0.8125
1562139008.5081093,165825,0.78125
1562139013.2707875,166145,0.859375
1562139031.3312316,167361,0.796875
1562139061.7640483,169409,0.84375
1562139098.8709915,171905,0.84375
1562139137.8272276,174529,0.796875
1562139256.253703,175020,0.7674418687820435
1562139309.8459215,178604,0.796875
1562139350.5928059,181356,0.90625
1562139376.256146,183084,0.890625
1562139386.7395885,183788,0.78125
1562139429.5930223,186668,0.859375
1562139478.1413317,189932,0.859375
1562139535.2209172,193772,0.734375
1562139554.2248344,195052,0.859375
1562139575.076748,196460,0.859375
1562139600.6861377,198188,0.859375
1562139631.0928752,200236,0.90625
1562139668.179308,202732,0.828125
1562139765.015827,209260,0.84375
1562139766.9240797,209388,0.84375
1562139789.755574,210924,0.84375
1562139793.5690331,211180,0.859375
1562139806.8859098,212076,0.890625
1562139807.8427718,212140,0.828125
1562139819.2543092,212908,0.859375
1562139850.639439,215020,0.84375
1562140020.0023394,219031,0.8125
1562140023.8383687,219287,0.8125
1562140040.1844876,220375,0.78125
1562140049.7463067,221015,0.890625
1562140062.1703134,221847,0.828125
1562140081.0907948,223127,0.84375
1562140082.031617,223191,0.890625
1562140156.2060652,228183,0.921875
1562140194.2461662,230743,0.875
1562140201.8562152,231255,0.796875
1562140244.6019762,234135,0.8125
1562140315.7945068,238935,0.796875
1562140319.590894,239191,0.828125
1562140320.5357223,239255,0.890625
1562140328.136457,239767,0.875
1562140343.3563507,240791,0.8125
1562140344.3044946,240855,0.84375
1562140367.1080956,242391,0.890625
1562140418.4572644,245847,0.875
1562140426.0589433,246359,0.859375
1562140432.6916907,246807,0.828125
1562140437.4581435,247127,0.828125
